pl_name,hostname,ra,dec,sy_dist,sy_plx,sy_gaiamag
EPIC 206024342 b,EPIC 206024342,331.2771441,-14.1218019,369.8880000,2.6751800,12.9682000
EPIC 206024342 c,EPIC 206024342,331.2771441,-14.1218019,369.8880000,2.6751800,12.9682000
EPIC 206024342 d,EPIC 206024342,331.2771441,-14.1218019,369.8880000,2.6751800,12.9682000
EPIC 206032309 b,EPIC 206032309,341.2404563,-13.9011223,161.3650000,6.1694000,16.0689000
EPIC 206042996 b,EPIC 206042996,337.5136198,-13.6101475,451.7690000,2.1868900,15.9752000
EPIC 206042996 c,EPIC 206042996,337.5136198,-13.6101475,451.7690000,2.1868900,15.9752000
EPIC 206215704 b,EPIC 206215704,335.0949721,-9.5097112,109.8880000,9.0727000,16.1722000
EPIC 206317286 b,EPIC 206317286,337.6178427,-7.9724560,314.3500000,3.1525400,13.7740000
EPIC 206317286 c,EPIC 206317286,337.6178427,-7.9724560,314.3500000,3.1525400,13.7740000
EPIC 211822797 b,EPIC 211822797,130.4102091,17.6399744,186.1970000,5.3420900,14.5263000
EPIC 211945201 b,EPIC 211945201,136.5741931,19.4020565,181.6900000,5.4752900,10.0512000
EPIC 212297394 b,EPIC 212297394,207.2061241,-17.6098985,418.3950000,2.3621200,14.1864000
EPIC 212297394 c,EPIC 212297394,207.2061241,-17.6098985,418.3950000,2.3621200,14.1864000
EPIC 212424622 b,EPIC 212424622,202.3313765,-14.3594358,611.8040000,1.6060000,13.2026000
EPIC 212499991 b,EPIC 212499991,202.4887520,-12.7347749,283.2900000,3.5012400,13.3118000
EPIC 212587672 b,EPIC 212587672,205.4445125,-10.8625468,320.0700000,3.0971300,12.2038000
EPIC 212587672 c,EPIC 212587672,205.4445125,-10.8625468,320.0700000,3.0971300,12.2038000
EPIC 212624936 b,EPIC 212624936,210.6376171,-10.0236852,561.9290000,1.7511100,13.8326000
EPIC 212624936 c,EPIC 212624936,210.6376171,-10.0236852,561.9290000,1.7511100,13.8326000
EPIC 212737443 b,EPIC 212737443,204.2215065,-7.3180577,336.2500000,2.9458200,14.4776000
EPIC 212737443 c,EPIC 212737443,204.2215065,-7.3180577,336.2500000,2.9458200,14.4776000
EPIC 220492298 b,EPIC 220492298,16.7615005,6.5887980,624.5120000,1.5724800,13.7756000
EPIC 220554210 c,K2-282,13.4321524,7.9952914,496.2890000,1.9862700,13.8183000
EPIC 220674823 b,EPIC 220674823,13.0800239,10.7947051,244.5900000,4.0602900,11.9535000
EPIC 220674823 c,EPIC 220674823,13.0800239,10.7947051,244.5900000,4.0602900,11.9535000
EPIC 228836835 b,EPIC 228836835,189.5748998,-5.2446247,150.1240000,6.6337500,15.4185000
EPIC 229004835 b,EPIC 229004835,186.4860415,-1.4047214,121.9710000,8.1703600,10.0494000
EPIC 246851721 b,EPIC 246851721,78.9198197,16.2786991,372.6320000,2.6639100,11.2549000
EPIC 248847494 b,EPIC 248847494,159.3890808,11.8427484,551.8860000,1.7834600,12.1722000
EPIC 249893012 b,EPIC 249893012,228.2482353,-16.7246474,321.2960000,3.0842900,11.4019000
EPIC 249893012 c,EPIC 249893012,228.2482353,-16.7246474,321.2960000,3.0842900,11.4019000
EPIC 249893012 d,EPIC 249893012,228.2482353,-16.7246474,321.2960000,3.0842900,11.4019000
FU Tau b,FU Tau,65.8974962,25.0506711,,,15.2412000
G 196-3 b,G 196-3,151.0884754,50.3861806,21.7912000,45.8611000,10.6123000
G 264-012 b,G 264-012,326.6719598,66.8038480,16.0090000,62.4358000,11.7617000
G 264-012 c,G 264-012,326.6719598,66.8038480,16.0090000,62.4358000,11.7617000
G 9-40 b,G 9-40,134.7188514,21.0747961,27.9276000,35.7781000,12.7331000
GJ 1002 b,GJ 1002,1.6764641,-7.5462123,4.8486700,206.2130000,11.7804000
GJ 1002 c,GJ 1002,1.6764641,-7.5462123,4.8486700,206.2130000,11.7804000
GJ 1061 b,GJ 1061,54.0032486,-44.5143104,3.6727800,272.2450000,10.9889000
GJ 1061 c,GJ 1061,54.0032486,-44.5143104,3.6727800,272.2450000,10.9889000
GJ 1061 d,GJ 1061,54.0032486,-44.5143104,3.6727800,272.2450000,10.9889000
GJ 1132 b,GJ 1132,153.7090696,-47.1549358,12.6130000,79.2543000,12.1380000
GJ 1132 c,GJ 1132,153.7090696,-47.1549358,12.6130000,79.2543000,12.1380000
GJ 1148 b,GJ 1148,175.4326081,42.7515862,11.0143000,90.7623000,10.5769000
GJ 1148 c,GJ 1148,175.4326081,42.7515862,11.0143000,90.7623000,10.5769000
GJ 1151 c,GJ 1151,177.7304866,48.3732334,8.0362500,124.4070000,11.6938000
GJ 1214 b,GJ 1214,258.8313991,4.9606795,14.6427000,68.2653000,13.0089000
GJ 1252 b,GJ 1252,306.9286462,-56.4622865,20.3730000,49.0558000,11.2364000
GJ 1265 b,GJ 1265,333.4324675,-17.6870623,10.2525000,97.5087000,12.0807000
GJ 143 b,GJ 143,51.7501882,-63.5001660,16.3200000,61.2455000,7.6790600
GJ 15 A b,GJ 15 A,4.6126677,44.0247296,3.5622800,280.6900000,7.2162000
GJ 15 A c,GJ 15 A,4.6126677,44.0247296,3.5622800,280.6900000,7.2162000
GJ 160.2 b,GJ 160.2,61.6454173,-20.8564724,25.8557000,38.6473000,9.2015400
GJ 163 b,GJ 163,62.3228353,-53.3711768,15.1285000,66.0714000,10.6771000
GJ 163 c,GJ 163,62.3228353,-53.3711768,15.1285000,66.0714000,10.6771000
GJ 163 d,GJ 163,62.3228353,-53.3711768,15.1285000,66.0714000,10.6771000
GJ 179 b,GJ 179,73.0245495,6.4752347,12.3560000,80.9036000,10.7055000
GJ 180 b,GJ 180,73.4600970,-17.7761940,11.9407000,83.7182000,9.9339500
GJ 180 c,GJ 180,73.4600970,-17.7761940,11.9407000,83.7182000,9.9339500
GJ 180 d,GJ 180,73.4600970,-17.7761940,11.9407000,83.7182000,9.9339500
GJ 2030 b,GJ 2030,50.8237604,-7.7950429,37.0788000,26.9407000,6.0208800
GJ 2030 c,GJ 2030,50.8237604,-7.7950429,37.0788000,26.9407000,6.0208800
GJ 2056 b,GJ 2056,108.0194945,-24.8921008,28.4434000,35.1286000,9.7228100
GJ 229 A c,GJ 229,92.6435993,-21.8677233,5.7562400,173.6960000,7.3072400
GJ 229 b,GJ 229,92.6435993,-21.8677233,5.7562400,173.6960000,7.3072400
GJ 238 b,GJ 238,98.4548810,-58.5250316,15.2142000,65.6992000,10.5294000
GJ 251 b,GJ 251,103.7002499,33.2664632,5.5805700,179.1640000,8.8551800
GJ 27.1 b,GJ 27.1,9.9980016,-44.2541679,23.6062000,42.3328000,10.5790000
GJ 273 b,GJ 273,111.8520910,5.2258070,5.9215350,263.2600000,
GJ 273 c,GJ 273,111.8520910,5.2258070,5.9215350,263.2600000,
GJ 3021 b,GJ 3021,4.0634323,-79.8514218,17.5559000,56.9319000,6.3972900
GJ 3082 b,GJ 3082,18.6432425,-53.9407751,16.6186000,60.1445000,10.2011000
GJ 3090 b,GJ 3090,20.4384281,-46.7147234,22.4751000,44.4649000,10.5521000
GJ 3138 b,GJ 3138,32.2977385,-16.3392495,28.4712000,35.0943000,10.1924000
GJ 3138 c,GJ 3138,32.2977385,-16.3392495,28.4712000,35.0943000,10.1924000
GJ 3138 d,GJ 3138,32.2977385,-16.3392495,28.4712000,35.0943000,10.1924000
GJ 317 b,GJ 317,130.2445254,-23.4528090,15.1968000,65.7744000,10.7539000
GJ 317 c,GJ 317,130.2445254,-23.4528090,15.1968000,65.7744000,10.7539000
GJ 3222 b,GJ 3222,50.8972464,-40.0762325,18.2381700,54.8301000,
GJ 328 b,GJ 328,133.7819507,1.5420011,20.5266000,48.6883000,9.2861000
GJ 328 c,GJ 328,133.7819507,1.5420011,20.5266000,48.6883000,9.2861000
GJ 3293 b,GJ 3293,67.1484425,-25.1713396,20.1903000,49.4999000,10.9788000
GJ 3293 c,GJ 3293,67.1484425,-25.1713396,20.1903000,49.4999000,10.9788000
GJ 3293 d,GJ 3293,67.1484425,-25.1713396,20.1903000,49.4999000,10.9788000
GJ 3293 e,GJ 3293,67.1484425,-25.1713396,20.1903000,49.4999000,10.9788000
GJ 3323 b,GJ 3323,75.4868824,-6.9485133,5.3748400,186.0230000,10.6467000
GJ 3323 c,GJ 3323,75.4868824,-6.9485133,5.3748400,186.0230000,10.6467000
GJ 3341 b,GJ 3341,78.9471415,-31.2948458,23.6190000,42.3099000,11.1029000
GJ 338 B b,GJ 338 B,138.5916722,52.6835211,6.3325600,157.8850000,7.0477500
GJ 3470 b,GJ 3470,119.7735021,15.3912090,29.4214000,33.9601000,11.3537000
GJ 3473 b,GJ 3473,120.5936065,3.3371629,27.3644000,36.5150000,12.4650000
GJ 3473 c,GJ 3473,120.5936065,3.3371629,27.3644000,36.5150000,12.4650000
GJ 3512 b,GJ 3512,130.3316616,59.4918364,9.4863700,105.3860000,13.1117000
GJ 3512 c,GJ 3512,130.3316616,59.4918364,9.4863700,105.3860000,13.1117000
GJ 357 b,GJ 357,144.0074644,-21.6650634,9.4418100,105.8830000,9.8803600
