sourceid,RA,Dec,prlx,magnitude
3736865265441207424,195.542915,10.959237,30.210957,0.01987341372758422
2968097043228517120,82.061318,-20.759816,20.869734,-0.7752394314979316
3490234568129160704,182.530821,-22.619722,10.598376,-2.2441023851253616
5512070906394195968,112.30726,-43.300593,17.023374,-1.2042557969441177
3384529341302871296,100.983006,25.131075,3.747654,-4.482804559608505
447071293401293056,46.199144,53.506423,14.12516,-1.5990331204723347
2026116260337482112,292.68034,27.959624,8.981564,-2.5815581555125826
2900546759663847168,84.912264,-34.074212,11.400786,-2.062123031170474
2962546605447869184,76.365384,-22.371368,15.599908,-1.3808968143847915
779106556394253824,167.415478,44.498364,23.227227,-0.48998317839518535
510204838759030144,21.456612,60.235068,32.029724,0.20829598183090425
4683897617110115200,6.482505,-77.252795,133.719406,3.311704193644861
1339952869195300608,258.761657,36.809175,8.899064,-2.550760349366472
5859405805013401984,184.390084,-67.960853,9.991496,-2.298421405765364
2671038928727970944,322.889803,-5.571211,5.972785,-3.4070305904988185
1381119031215320576,247.160794,41.881651,8.486624,-2.632655194102318
4049975081571729920,271.451766,-30.424938,32.269657,0.2682827461705992
1887953690728237568,340.75064,30.22113,16.630835,-1.170350726004437
2680356911816018048,331.446064,-0.319897,4.945145,-3.8012698481635008
5239828735016184448,160.738981,-64.394406,7.637105,-2.8506481919345497
3557567320183657472,162.406631,-16.19276,23.79402,-0.3819968885259257
3017190546641718144,83.858263,-5.909896,1.996866,-5.757413387747486
5698015743046182272,121.88563,-24.304116,51.399886,1.3053997788649152
4935615308047192576,22.091261,-43.319154,13.361167,-1.6104370388210185
5610441600394646016,105.429755,-27.934809,2.508533,-5.242351907058695
6071060144089351808,183.78601,-58.748974,7.168088,-2.9499713581918403
6194563955869054848,199.730736,-23.171711,25.528605,-0.18833058194328345
3211922645854328832,76.962001,-5.08681,36.245604,0.5739917063540076
641662895638787584,146.462583,23.774206,14.339443,-1.433381590176718
5826168461855385472,238.783806,-63.432511,80.485412,2.3129768576143936
4082115215112774272,287.440968,-21.023779,6.241001,-3.2207147391590008
2887731882922767744,87.740266,-35.766511,36.903815,0.6395353223679852
2255173119658513408,288.139862,67.661949,33.349945,0.4233926101209793
168726523212358272,58.533044,31.883595,3.855551,-4.247577738960452
6838311796136238976,326.761392,-16.128607,85.94056,2.50780389638554
1824534959611831680,296.846974,18.534315,5.967381,-3.284258164126901
6875990375999580544,305.25298,-14.781406,8.396575,-2.5426151422678185
205499655242974464,75.492232,43.823297,0.987882,-7.178826638445411
6674382927491854848,309.392134,-47.291208,32.898854,0.4380538499102604
2769202742740232960,3.30897,15.183551,6.947422,-2.9374526021410396
1823067317695766784,299.689591,19.492247,11.337545,-1.8680418808222399
2610370969483589888,343.153709,-7.579451,8.936,-2.384755199462237
4039970797062166400,267.464736,-37.043223,24.734014,-0.17345598863650658
5958043164999014400,266.896164,-40.127021,1.417749,-6.375320251843165
2199493438511811712,332.71377,58.201285,3.297198,-4.539136861303549
583588100209595776,133.847991,5.945629,21.313273,-0.4865462608868487
5253347574087339776,154.270494,-61.332279,4.304645,-3.9592902929427067
2858629802998456576,9.832595,30.860503,31.573489,0.3686908793254231
6235406071207202688,239.712905,-26.114227,9.673295,-2.1986128381835197
5538814190283894656,116.313674,-37.96856,2.945965,-4.778813085832791
4444057469252265984,254.415755,9.374985,37.112505,0.7296903455731858
