# Completeness = 5063 / 10000
RA	Dec	magnitude
119.247596	15.790089	5.407062
119.631092	16.518666	5.553939
117.986319	19.324917	5.724317
125.087683	20.747519	5.487210
122.612894	25.505788	5.508792
120.232886	25.392869	5.620211
127.876771	24.080908	5.635961
125.133800	24.022227	5.921402
122.554538	25.844342	5.973663
133.915270	27.927338	4.968617
135.684425	24.452880	5.437312
137.196522	26.627467	5.793678
141.163417	26.182114	4.080853
144.178579	31.161562	4.823806
137.000044	29.654244	5.189888
133.119042	28.259127	5.226980
129.578960	32.801998	5.657076
133.146761	28.329783	5.732681
134.885830	32.418405	4.998731
134.235543	32.910134	5.414233
135.128275	37.604360	5.546975
133.144229	32.474229	5.632745
160.853433	23.188440	5.053822
160.757353	26.325272	5.474671
154.173367	25.370725	5.483773
163.934339	33.506808	4.706735
160.546948	31.696910	4.942135
161.466123	30.682138	5.341445
149.900410	29.645061	5.469180
154.059765	29.310373	5.479210
153.456962	27.135811	5.842719
156.035772	33.718517	5.166929
158.378642	34.988681	5.547833
156.092496	34.176307	5.705443
159.780558	37.909800	5.706838
169.782591	38.185257	4.694619
164.886984	36.092876	5.099360
166.129743	38.241365	5.996288
168.416970	41.088907	6.037078
174.584815	43.625272	5.457031
172.629412	43.173605	5.809020
164.864703	40.430501	4.866588
165.061330	45.526283	4.923542
167.410008	43.207702	4.986831
171.959851	45.185137	5.038457
174.470488	50.618091	5.889834
172.603400	46.657654	5.901233
145.396401	31.277768	5.199597
143.910611	35.808981	5.200431
145.501137	39.757639	5.379385
142.679985	33.655500	5.609511
149.420374	41.055517	4.984309
152.803125	37.401768	5.465960
155.543297	41.228916	5.607603
154.322913	41.467338	5.712890
143.765785	39.621582	4.522163
142.166574	45.600906	5.120425
144.590656	40.239839	5.237008
147.148800	46.020597	4.916553
154.860917	48.396272	5.739212
164.824350	51.882351	5.793193
157.152028	45.212119	5.965151
171.487390	55.850672	5.466210
178.993476	56.598548	5.531869
169.173796	49.476197	5.582717
179.125881	57.871525	5.668762
158.790934	57.082800	5.062257
159.772891	53.667947	5.159852
162.795328	56.582267	5.350990
161.593240	57.365654	5.578563
162.848605	59.319892	5.251284
173.086107	61.082200	5.563896
172.267938	61.779426	5.725506
116.028747	25.784071	4.690304
112.453027	27.916024	4.693162
110.868470	25.050402	4.780956
112.334999	28.118042	5.039443
111.934553	21.444741	5.098742
108.675167	24.884586	5.189145
115.243793	23.018474	5.330736
120.879420	27.794145	4.611183
118.374062	26.765646	4.929405
113.786548	30.960951	5.025064
123.286893	29.656451	5.589831
106.548006	34.473751	5.300716
106.843231	34.009155	5.385504
107.846018	26.856442	5.732291
110.510368	36.760483	4.795151
115.060995	38.344495	5.059237
114.637142	35.048673	5.339538
115.681014	34.000212	5.939928
120.479775	35.413033	5.689678
126.270294	35.011355	5.699284
119.963904	36.082036	5.836585
132.986704	43.726810	4.885139
117.556192	39.770653	5.839932
122.345989	42.430289	5.880463
117.813891	37.081970	5.895164
118.677600	47.564599	4.941986
102.421947	32.606542	5.303765
99.704874	39.902510	5.308028
103.264753	35.787982	5.526419
104.252061	33.681047	5.694201
101.072246	40.622247	5.790897
104.404479	45.094079	4.872628
101.684721	43.578156	5.105546
104.232938	46.705005	5.593061
104.761629	38.051775	5.643796
110.262805	42.655753	5.827976
91.861466	41.854198	5.790154
90.825515	42.910899	5.812349
91.263830	42.980985	5.820564
90.429469	48.959403	5.477622
93.438912	51.172187	5.797577
99.991332	44.014128	5.979785
92.588367	47.739372	6.000709
94.570349	46.359863	6.021141
114.131630	46.180140	4.959143
109.633231	49.464773	4.975070
112.483917	49.672091	5.223932
115.301306	48.130951	5.304179
108.959110	47.239137	5.388160
112.181121	47.920420	5.388739
110.322611	45.228222	5.655417
116.017370	50.433677	5.341067
109.390479	52.130982	5.550888
114.195891	55.754895	5.617978
110.716887	55.281255	5.776372
96.607443	56.285193	5.487560
94.091714	56.734692	5.533023
98.636697	55.353068	5.815308
99.409857	56.857574	5.862448
101.048235	53.295041	5.999134
93.919139	59.998868	4.930371
101.706412	57.169005	5.074608
104.304836	57.563358	5.461836
101.558718	59.441632	5.493077
92.806501	60.453422	5.549380
137.216756	51.604500	4.405898
136.350308	48.530238	5.361261
134.207337	45.631448	5.405166
143.705479	52.051318	4.440791
140.430274	56.699170	4.514644
138.957224	56.741279	4.656113
139.047566	54.022126	4.753883
136.001640	54.283894	5.731674
129.823216	52.711486	5.573067
123.458908	56.452092	5.612003
124.565614	54.143567	5.622046
125.109063	57.743344	5.787847
127.564911	60.717690	3.149355
149.965116	56.811682	4.937758
153.782071	59.985567	5.449524
154.507503	65.108312	5.720901
149.306972	57.417931	5.732664
152.282049	63.952428	5.775357
161.266858	67.411386	4.915826
174.013027	69.322390	4.920180
175.617660	66.745080	4.931482
161.902844	65.616466	5.761008
137.097661	66.873053	4.561715
137.598261	67.133627	4.679625
144.865827	67.272054	5.328205
160.450722	68.443393	5.317244
163.372832	69.853582	5.648067
115.206263	57.082819	5.570986
124.460020	59.571145	5.598015
120.336737	59.047514	5.677026
128.649910	65.144820	5.420306
129.798482	65.021297	5.498977
124.821286	62.507194	5.508607
116.667287	65.455753	5.599831
103.426095	68.888345	5.086468
102.737879	67.571955	5.096459
97.060349	70.535370	6.023981
100.134452	71.748835	5.522353
91.289142	75.585875	5.690497
106.465726	70.731898	5.858834
125.168054	72.407121	5.384897
143.724091	72.205344	5.650113
129.927309	73.629234	5.890182
138.967776	72.946072	5.907363
125.540864	74.820597	6.134414
174.426383	77.595709	5.813983
146.379318	78.134700	5.815324
163.803484	77.087594	5.886071
100.120620	77.995757	5.207614
101.556525	79.562126	5.300416
124.885123	75.756978	5.311197
121.195375	79.479391	5.373844
115.123808	87.019958	4.274878
157.766661	82.558740	5.144055
90.335248	85.182109	5.593241
228.797241	4.939375	4.973391
224.846322	4.567736	5.061779
226.918000	5.497958	5.913457
233.700427	10.537768	5.124504
233.972211	11.265605	5.700166
227.631327	11.673703	6.032556
215.844227	8.446577	5.045047
220.430611	11.660161	5.307720
216.075579	8.084145	5.824607
221.524378	15.131856	3.827463
234.117411	15.101475	4.251103
239.310149	14.414869	5.201742
235.447739	12.847513	5.313911
237.055397	13.788615	5.568318
236.821881	14.115560	5.683834
235.246353	16.024515	5.763762
238.643825	20.311157	4.752333
240.573736	22.804556	4.794380
240.309434	17.819094	4.831697
243.868990	18.807712	5.413513
241.842342	21.822450	5.682080
228.017704	18.976068	4.655125
229.602052	20.572664	5.423979
233.888095	17.655495	5.845951
233.672544	26.714295	2.269370
213.711781	10.099877	5.065567
214.818312	13.004162	5.288976
213.520422	12.959200	5.392254
220.181560	16.418396	4.854870
216.613692	19.227018	5.361637
219.558146	18.298089	5.590650
223.346946	19.153761	5.766141
220.183038	16.417831	5.786731
207.428585	21.264178	4.414803
208.303714	17.932892	5.498851
209.662153	21.696014	5.754101
205.168401	19.955821	5.754958
212.599609	25.091411	4.662029
217.191852	25.853834	5.592885
216.008228	27.413156	5.729141
226.826180	24.868464	4.802299
227.099115	26.301084	5.276025
227.148159	25.108631	5.441864
228.016748	22.313305	5.681800
233.232316	31.359078	4.239580
231.571814	34.336261	4.943442
230.035058	29.616016	5.219635
228.621141	29.164424	5.262741
220.855610	26.527783	3.841982
218.671038	29.745712	4.341964
215.558132	29.369805	4.889359
219.816171	32.539492	5.295077
222.622340	37.272471	5.176575
225.775007	35.205832	5.252573
224.903763	39.265516	5.556746
247.639362	20.478898	4.796257
247.805913	22.195488	5.079833
249.406893	22.444844	5.610582
253.241432	31.701594	5.255359
253.759096	25.730594	5.829329
252.679913	32.553866	5.881382
240.260031	33.300079	5.232800
243.947004	27.421909	5.716666
244.186733	29.150187	5.772992
242.950150	36.424947	5.160967
243.668787	33.858226	5.431288
246.350728	37.393978	5.473483
259.417505	37.291766	4.618945
259.331510	33.100077	4.815964
255.876058	35.413865	4.917459
260.165580	32.463117	5.209875
269.984210	45.501225	5.011446
260.431800	39.974401	5.326394
263.279836	41.243178	5.403206
268.019593	39.982319	5.566214
265.772837	44.084475	5.742878
251.832291	42.238800	4.603846
257.388274	40.777064	4.659752
251.299085	43.216951	5.582053
257.577291	40.690077	5.671800
264.157103	48.585912	5.004649
267.267501	50.781975	5.012529
265.340558	51.818125	5.723204
234.844384	36.635778	4.985497
239.740586	36.643900	5.018504
235.996921	32.515764	5.269531
238.948446	37.947309	5.356588
240.830729	36.631721	5.624629
242.192242	44.935070	4.190117
238.657503	43.138854	4.415800
238.171564	42.454315	4.424265
242.242625	36.492347	4.434176
242.948282	42.374671	5.335554
230.655724	39.581399	4.911481
232.945628	40.899281	4.935905
234.457017	40.353700	4.996858
228.543098	42.171340	5.238345
237.694269	48.482918	4.649310
240.699929	46.036431	4.686431
240.523210	52.915778	5.357499
249.635609	48.862209	5.380297
253.322849	47.417161	5.555265
249.046596	46.613342	5.568570
247.946728	45.598437	5.649823
263.067967	55.173183	4.792332
263.045187	55.184486	4.839051
260.439173	53.420441	5.149156
256.333418	54.470353	5.508497
256.333462	54.471054	5.590328
252.069237	57.813706	5.383548
249.057082	52.924542	5.401847
244.796574	49.038303	5.466325
249.047491	52.900175	5.512910
263.750664	61.872440	5.069048
205.259694	22.495658	5.360865
205.938412	22.700263	5.608524
201.277773	23.854386	5.739733
207.788455	34.664157	5.128133
207.161367	31.190375	5.318724
205.162476	28.065201	5.798867
208.292221	28.648260	5.887554
196.794879	27.624429	4.212999
195.068515	30.784992	4.489877
200.974789	37.033874	5.090091
199.615684	34.098334	5.357128
198.399778	36.887576	5.646521
212.812884	32.296060	5.779441
217.068375	36.197037	5.901379
216.371498	38.392964	5.909278
220.935058	40.459342	5.233682
219.708850	44.404420	5.383827
218.660277	36.625856	5.564075
206.579144	38.503563	5.705039
202.815117	42.106276	5.786922
208.285100	40.337924	5.829656
212.071693	49.458432	4.435907
213.371310	51.789925	4.464427
214.040311	51.367626	4.691944
210.550971	45.753111	5.840572
196.434944	35.798989	5.166231
194.000475	38.315126	5.541399
191.245455	39.279534	5.803025
192.544252	37.517038	5.837057
198.428624	40.152952	4.661752
200.078624	40.150530	5.221204
196.467690	45.268666	5.309220
188.431428	41.358777	4.094672
191.282590	45.440315	3.957619
199.560215	49.682136	5.128485
200.772777	47.002064	5.237154
201.569370	46.027971	5.620327
201.307306	54.987845	3.974355
204.875863	52.921456	5.442430
208.334045	52.322986	5.539820
203.530290	55.348408	5.592870
206.648428	54.432658	5.670880
208.462343	53.728648	5.686796
186.896091	55.712670	4.918238
185.212415	57.863807	5.003103
190.088632	55.846560	5.228829
184.373620	53.191129	5.374478
182.937187	57.054331	5.771113
181.414949	62.932796	5.775084
187.518012	58.767710	5.806035
191.829152	62.781178	5.853086
224.096764	49.627446	5.506557
236.643892	55.475128	5.447071
235.711022	52.361031	5.463089
234.383099	54.508634	5.552729
238.068790	55.826953	5.586346
218.664776	49.368576	5.074803
218.128936	55.397950	5.144922
217.155459	49.844642	5.337401
222.859090	59.294597	5.017934
231.964096	60.670204	5.349001
225.362761	60.204508	5.904988
230.655328	62.046921	5.986302
244.314001	59.755135	4.111553
240.788771	59.410600	5.462062
249.229201	63.072434	5.581446
248.752452	60.468155	5.775439
264.237914	68.759396	4.645841
254.009554	65.135023	4.750818
262.990978	68.135615	4.769284
268.796594	72.005115	5.337283
258.135910	62.874543	5.506300
234.412422	69.283564	5.194172
