RA,Dec
142.578671,-50.235478
142.587020,-50.233578
142.586086,-50.245113
142.592636,-50.236363
142.580694,-50.240967
142.586392,-50.239607
142.592763,-50.235393
142.588374,-50.233042
142.559192,-50.248247
142.565212,-50.243055
142.566308,-50.241547
142.554644,-50.237249
253.199465,-30.934964
253.199110,-30.933482
253.199387,-30.932842
253.203386,-30.937065
253.207143,-30.934132
253.195694,-30.929885
253.196820,-30.928148
253.198899,-30.927398
253.202969,-30.924736
253.199895,-30.921602
253.201562,-30.922165
253.204762,-30.922276
253.208474,-30.930675
253.210085,-30.930669
253.209411,-30.928076
316.711352,41.399212
316.709679,41.401031
316.712775,41.403777
316.708695,41.404548
316.713860,41.398084
316.712645,41.404600
316.714483,41.409291
316.711753,41.407387
316.712499,41.390124
316.708222,41.398901
316.705610,41.400265
316.718713,41.399692
316.717643,41.400781
316.710095,41.404574
316.713206,41.405998
254.252235,-31.696211
254.257401,-31.692105
254.260261,-31.689920
254.253988,-31.693974
254.259504,-31.690247
254.259271,-31.690161
254.255573,-31.692679
254.253887,-31.693526
254.251302,-31.695063
254.260822,-31.688500
254.256380,-31.691156
254.249920,-31.695159
254.247921,-31.696048
220.081535,-57.467806
254.253276,-31.692573
220.091672,-57.465280
318.790562,41.884797
318.793524,41.876454
318.790719,41.884049
318.789479,41.884608
318.795750,41.892475
318.801449,41.880423
318.793179,41.882449
318.789493,41.880219
318.785546,41.885277
318.792618,41.877955
318.798112,41.878734
318.796142,41.885361
318.805295,41.887247
318.768822,41.885031
217.951861,-56.695961
259.314164,-43.311880
259.309626,-43.310584
259.310638,-43.309062
259.297825,-43.301596
259.304338,-43.309141
259.306994,-43.308560
259.311577,-43.306589
140.842343,-49.762497
259.305580,-43.311747
140.838482,-49.758329
259.308631,-43.310678
140.841075,-49.760193
259.311500,-43.316300
140.840919,-49.767193
259.296403,-43.295302
140.845174,-49.755638
91.518324,53.470134
91.527677,53.483763
91.528182,53.476412
91.492249,53.485553
125.428267,-58.645879
91.491865,53.476686
125.437321,-58.655800
91.490280,53.479485
125.432892,-58.644229
91.511608,53.483310
125.439167,-58.654647
91.490287,53.491331
125.435038,-58.643319
91.514567,53.479640
91.493639,53.486868
316.711778,41.389609
316.721677,41.397054
316.710904,41.399037
316.715506,41.408422
316.721545,41.401350
316.727421,41.397371
316.729368,41.401377
254.052217,-32.198615
316.736346,41.400208
254.061729,-32.200043
316.734814,41.389935
254.059906,-32.196895
316.730212,41.395475
254.061856,-32.195620
318.771522,41.886920
318.773950,41.892855
318.773027,41.886466
318.776086,41.886998
318.709229,42.557301
318.777294,41.882465
318.775220,41.880125
318.718557,42.565454
318.764723,41.884214
318.706657,42.559704
318.767584,41.882634
318.705643,42.561622
318.784656,41.887905
318.716452,42.557492
318.779382,41.895354
142.550124,-50.236017
142.561871,-50.234452
251.562674,-33.380379
142.565636,-50.236154
251.564520,-33.377580
142.562430,-50.236213
251.565105,-33.395854
142.556219,-50.231199
251.570536,-33.391847
142.553250,-50.227555
251.571492,-33.390760
142.548436,-50.240316
251.562449,-33.395485
142.561061,-50.245799
251.569360,-33.390549
253.203333,-30.939691
253.202744,-30.940140
217.986767,-57.754562
253.206530,-30.936772
217.967541,-57.756130
253.204195,-30.936737
217.984927,-57.752579
253.202958,-30.934303
217.975691,-57.753401
253.198230,-30.934048
217.977295,-57.749912
253.204176,-30.927655
217.978053,-57.762419
253.197748,-30.930195
219.476013,-57.229893
219.480462,-57.228204
219.490170,-57.227130
219.481030,-57.226715
219.478793,-57.242227
219.484162,-57.226546
219.455029,-57.226119
219.452860,-57.238528
219.452054,-57.235115
219.464664,-57.233990
219.444839,-57.233491
219.460506,-57.231977
219.462584,-57.230573
219.444599,-57.228974
219.445644,-57.225725
92.012640,50.658013
92.006103,50.678307
92.010388,50.671179
92.018789,50.668765
91.984249,50.674178
91.991341,50.673401
91.984224,50.670422
91.979955,50.674771
91.986134,50.688782
91.991502,50.682321
91.989175,50.688868
91.988941,50.679866
91.988567,50.687533
91.986824,50.689667
91.989478,50.686157
218.487954,-57.091679
218.490521,-57.092230
218.480849,-57.089437
218.493394,-57.091423
218.484486,-57.088825
218.503803,-57.091588
218.486976,-57.086330
218.496713,-57.087708
218.498169,-57.087629
218.506544,-57.089232
218.499130,-57.086705
218.499316,-57.086888
218.503318,-57.087333
218.499740,-57.083296
218.495854,-57.079684
218.495261,-57.083124
218.493309,-57.093664
218.490694,-57.099512
126.744640,-59.844313
126.691884,-59.844313
126.706935,-59.840183
126.712795,-59.836710
126.714126,-59.835477
126.706458,-59.848656
126.701221,-59.841475
126.717061,-59.840974
126.728760,-59.838188
126.735828,-59.832431
126.738710,-59.828297
126.719140,-59.828347
126.720464,-59.829419
126.731224,-59.824734
139.952437,-49.981840
139.947050,-49.980643
139.961850,-49.981499
139.980271,-49.977128
139.978956,-49.974064
139.977175,-49.973064
139.980989,-49.972289
139.983167,-49.988296
139.990735,-49.982768
139.983997,-49.985012
139.978525,-49.981179
139.976812,-49.976954
139.973900,-49.984012
139.982835,-49.986036
139.982354,-49.985357
105.473844,46.836500
105.475345,46.848426
105.511951,46.848133
105.506422,46.850582
105.493678,46.857960
105.503076,46.852770
105.515025,46.868355
105.510991,46.863639
105.482066,46.870187
105.479133,46.881007
105.463195,46.842637
105.449752,46.854800
105.455466,46.853763
105.452489,46.875823
108.237823,49.029208
108.228559,49.030750
108.241837,49.038014
108.237464,49.036723
108.248731,49.036322
108.253655,49.039408
108.245165,49.050809
108.238324,49.041830
108.217038,49.038723
108.210883,49.043159
108.215220,49.063230
108.243476,49.068015
108.250501,49.074631
108.263731,49.064344
258.829536,-42.908884
258.826801,-42.907389
258.820830,-42.903862
258.820091,-42.905636
258.826870,-42.911693
258.822533,-42.910020
258.830415,-42.903315
258.835500,-42.906773
258.826052,-42.914097
258.832587,-42.915687
258.827094,-42.903275
258.826479,-42.904777
258.834345,-42.911186
258.834349,-42.913179
258.835693,-42.911408
258.828515,-42.913416
258.832449,-42.909439
258.826918,-42.906501
128.135376,-58.112109
128.122880,-58.112041
128.131829,-58.107318
128.126713,-58.104098
128.128165,-58.121363
128.125489,-58.110149
128.118654,-58.115273
128.116422,-58.112135
128.128849,-58.116340
128.129060,-58.113935
128.131716,-58.113410
128.126782,-58.117536
128.092694,-58.123046
128.087472,-58.108419
316.168854,42.172043
316.163808,42.174092
316.166538,42.177449
316.177868,42.178851
316.175098,42.179435
316.173612,42.181691
316.127377,42.140506
316.128797,42.142571
316.123783,42.143857
316.132809,42.145860
316.118264,42.147023
316.124964,42.147392
316.138160,42.148220
316.122630,42.151094
110.824130,48.609638
110.831255,48.610189
110.835106,48.608564
110.900156,48.591096
110.908688,48.604788
110.897629,48.606315
110.902109,48.604075
110.867863,48.603003
110.866557,48.605182
110.866981,48.605087
110.884655,48.605117
110.883984,48.606808
110.876102,48.626831
110.912811,48.615232
110.910004,48.633023
315.636791,41.250842
315.629401,41.250659
315.634135,41.246992
315.648160,41.259739
315.651309,41.259354
315.652362,41.261864
315.646371,41.261059
315.641062,41.266603
315.646580,41.267595
315.640632,41.263371
315.657656,41.261335
315.644579,41.255659
315.645767,41.267833
315.626729,41.250616
315.627044,41.260815
256.028753,-32.678951
256.023198,-32.682310
256.032682,-32.674958
256.026726,-32.678514
256.023654,-32.678126
256.021896,-32.678851
256.023824,-32.676936
256.023818,-32.676215
256.022717,-32.675264
256.018588,-32.673823
256.026895,-32.667465
256.016551,-32.673442
256.031208,-32.678838
256.031712,-32.678369
256.030927,-32.675817
254.570439,-31.912871
254.558993,-31.916744
254.571194,-31.912235
254.556794,-31.916787
254.558905,-31.915048
254.566770,-31.909787
254.566678,-31.909612
254.564793,-31.910735
254.562527,-31.910901
254.566216,-31.909165
254.567618,-31.908613
254.567278,-31.908342
254.566026,-31.906424
254.563051,-31.906472
254.561152,-31.906464
254.560924,-31.906483
254.568145,-31.920159
254.566767,-31.919246
217.952970,-56.695978
217.966745,-56.698068
217.960525,-56.696318
217.961225,-56.696532
217.960086,-56.696302
217.957315,-56.695051
217.957140,-56.695484
217.966138,-56.697276
217.967125,-56.697424
217.951339,-56.693678
217.956112,-56.694647
217.959378,-56.694110
217.959053,-56.694264
217.970884,-56.696647
217.967416,-56.694782
217.969136,-56.694972
253.456538,-30.597237
253.456507,-30.601599
253.460290,-30.594779
253.446079,-30.595102
253.455662,-30.592577
253.452814,-30.589322
253.453886,-30.601751
253.464775,-30.594415
253.464442,-30.594143
253.464047,-30.593924
253.463094,-30.594490
253.451196,-30.601435
253.460316,-30.594452
253.460416,-30.593312
253.457965,-30.594193
253.458836,-30.593314
253.459134,-30.593112
251.748003,-33.790953
251.747492,-33.790585
251.738388,-33.796080
251.749465,-33.788116
251.746492,-33.788684
251.746263,-33.789074
251.736746,-33.794809
251.741078,-33.791092
251.743673,-33.789335
251.740407,-33.785941
251.735393,-33.786972
251.738160,-33.784558
251.739833,-33.800444
251.741982,-33.796654
251.742615,-33.795771
251.746427,-33.794462
254.250665,-31.693833
254.252057,-31.692474
254.257034,-31.688112
254.253390,-31.690216
254.254655,-31.688529
254.252288,-31.689654
254.252266,-31.689836
254.251051,-31.689981
254.251026,-31.690550
254.254699,-31.687852
254.253479,-31.688679
254.256783,-31.686229
254.253174,-31.688241
254.254136,-31.686740
254.258154,-31.702120
125.452789,-58.621357
316.733421,41.404226
316.734459,41.396048
316.732960,41.396049
316.736268,41.400562
316.735305,41.401245
316.727979,41.395753
316.744074,41.399757
316.734119,41.391748
316.729421,41.402755
316.737129,41.389986
316.731866,41.394738
316.734029,41.394676
316.735775,41.396175
