# Completeness = 8372 / 10000
RA	Dec	magnitude
303.876008	23.508871	4.891197
313.031660	27.096693	4.348585
313.640145	28.057619	4.486922
318.234089	30.226697	2.982149
321.917114	27.608687	5.379911
307.348930	30.368551	3.909945
311.415592	30.719819	3.920245
319.479555	34.896871	4.126832
311.795015	34.374157	4.514234
311.852288	36.490675	4.712803
342.501514	24.601393	3.274584
341.633101	23.565612	3.686687
340.750640	30.221130	2.725079
340.439161	29.307513	4.799610
331.754226	25.345221	3.663871
332.496782	33.178132	4.157007
330.998039	28.348383	4.600131
333.992454	37.748735	3.665172
339.815318	39.050245	4.825453
333.199369	34.604370	5.015946
347.537096	33.767659	4.735431
355.102613	44.333848	4.147998
354.534334	43.268068	4.253719
352.824201	39.235825	4.922183
345.480384	42.325986	3.575974
343.009143	43.312522	4.272408
346.913531	46.387097	4.810415
341.022773	41.819250	4.854727
354.392041	46.456277	3.404353
349.436259	49.015328	3.934003
356.508584	46.420242	4.650640
323.694753	38.534509	4.570239
325.776856	41.154911	4.719647
333.469923	39.715011	3.990364
331.508081	45.014276	4.442176
323.495066	45.591423	3.754974
319.353969	39.394664	4.179437
325.046664	43.273907	4.358688
324.010798	45.374591	3.531106
326.698411	49.309557	4.184846
337.382600	47.706882	3.536360
337.823877	50.282570	3.783707
340.129159	44.276356	4.065224
358.595930	57.499368	4.050132
348.138129	49.406633	4.438951
356.764909	58.652244	4.569079
339.658442	56.795491	3.861995
335.889996	52.228217	4.130943
336.129095	49.476377	4.509516
339.343032	51.544660	4.566470
351.209535	62.282760	4.159009
346.653459	59.419749	4.791771
352.508239	58.548940	4.858418
292.680340	27.959624	2.651682
292.175757	24.664431	3.741117
292.689145	27.965268	5.103025
294.844199	30.153481	4.400070
300.275493	27.753591	4.627144
296.606788	33.725606	4.873973
284.735912	32.689563	3.248974
285.003473	32.145555	4.470633
291.031639	29.621385	4.931821
296.069595	37.354513	4.633603
292.943016	34.452953	4.699629
296.159072	34.414174	5.072373
291.538054	36.317958	5.133008
299.076364	35.083297	3.623402
308.475764	35.250826	3.877334
304.446654	38.032900	4.566381
304.230370	40.365066	4.632300
314.293478	41.167101	3.885610
312.521310	44.059890	5.007864
305.688735	41.025795	5.253952
296.243918	45.131025	2.916317
297.641714	38.722886	4.299452
297.695325	37.826345	4.909101
303.407962	46.741338	3.282255
303.868019	47.714216	3.317127
300.339961	50.104718	4.746411
303.325313	46.815669	4.779923
283.626141	36.898629	2.922179
282.519991	33.362650	3.604878
279.527017	39.668363	4.229909
281.193297	37.605210	4.316457
283.833884	43.946451	2.361683
289.092040	38.133760	3.965498
288.439527	39.145960	4.358041
271.869695	43.461637	4.743270
276.057316	39.507215	5.085514
275.385933	49.121819	4.165178
282.282704	47.515694	5.628780
293.423375	49.262266	4.759640
285.360071	46.934404	4.965450
292.553845	46.147777	5.013132
289.276144	53.369005	3.544013
292.426642	51.730346	3.741895
294.110514	50.222273	4.371612
278.143845	57.045561	4.604340
283.306431	50.708123	4.669194
282.801083	59.388467	4.268622
273.477933	64.397443	4.861512
316.232812	43.927857	3.063898
316.650429	47.648395	3.965598
314.956527	47.520952	4.549879
312.234534	46.114123	4.673104
321.715488	48.835280	5.275362
319.928377	55.450095	5.307959
320.501998	49.389119	5.384253
303.349940	56.568085	4.235856
307.828463	49.220153	4.657627
311.091961	56.488398	4.848727
311.323206	61.842419	3.177913
311.337506	57.578671	4.321310
319.815339	58.623486	4.657596
325.876944	58.780028	2.450726
332.713770	58.201285	2.870138
337.292885	58.415208	3.850600
330.971102	63.120180	4.031870
342.419347	66.199850	3.222498
